cliente_id,codigo_cliente,segmento,ciudad,pais,edad,ingreso_mensual,fecha_alta,estatus
0,CLI-000000,Digital,CDMX,Mexico,30,74282,2022-12-20,Inactivo
1,CLI-000001,Nomina,Puebla,Mexico,29,53482,2026-07-12,Activo
2,CLI-000002,Digital,Queretaro,Mexico,46,80849,2026-08-22,Inactivo
3,CLI-000003,Digital,Monterrey,Mexico,63,38294,2026-03-02,Activo
4,CLI-000004,Empresarial,Queretaro,Colombia,52,56261,2021-05-06,Activo
5,CLI-000005,Premium,Medellin,Mexico,58,59962,2022-10-25,Activo
6,CLI-000006,Pyme,Monterrey,Mexico,30,17090,2025-02-25,Activo
7,CLI-000007,Pyme,Monterrey,Mexico,32,92299,2023-02-15,Activo
8,CLI-000008,Nomina,Bogota,Mexico,37,97057,2023-03-04,Activo
9,CLI-000009,Digital,Medellin,Colombia,30,10889,2024-12-12,Activo
10,CLI-000010,Pyme,Cali,Colombia,34,66989,2024-07-04,Inactivo
11,CLI-000011,Premium,Monterrey,Mexico,45,31647,2023-06-22,Inactivo
12,CLI-000012,Pyme,Guadalajara,Colombia,42,16182,2026-06-01,Activo
13,CLI-000013,Digital,Medellin,Mexico,22,42346,2021-03-21,Activo
14,CLI-000014,Empresarial,Medellin,Mexico,52,69354,2023-09-26,Activo
15,CLI-000015,Digital,CDMX,Mexico,40,93843,2021-11-17,Activo
16,CLI-000016,Premium,Guadalajara,Colombia,59,34860,2023-03-06,Activo
17,CLI-000017,Nomina,Medellin,Mexico,55,55732,2026-09-02,Activo
18,CLI-000018,Nomina,Cali,Colombia,57,35676,2026-05-11,Inactivo
19,CLI-000019,Empresarial,CDMX,Mexico,23,76454,2022-06-25,Activo
20,CLI-000020,Premium,Queretaro,Mexico,59,46082,2025-07-07,Activo
21,CLI-000021,Digital,Guadalajara,Mexico,64,66489,2024-04-10,Activo
22,CLI-000022,Nomina,Guadalajara,Mexico,46,28710,2025-06-20,Activo
23,CLI-000023,Digital,Guadalajara,Colombia,58,14377,2025-05-15,Activo
24,CLI-000024,Pyme,Guadalajara,Colombia,45,50540,2022-05-18,Inactivo
25,CLI-000025,Nomina,CDMX,Mexico,39,50032,2022-09-06,Activo
26,CLI-000026,Empresarial,CDMX,Mexico,35,85551,2025-04-24,Activo
27,CLI-000027,Premium,Puebla,Mexico,31,91094,2024-03-31,Inactivo
28,CLI-000028,Premium,CDMX,Colombia,57,95210,2021-08-08,Inactivo
29,CLI-000029,Nomina,Puebla,Mexico,38,13277,2024-08-07,Inactivo
30,CLI-000030,Pyme,Medellin,Mexico,39,94159,2021-03-23,Activo
31,CLI-000031,Digital,Guadalajara,Mexico,63,60126,2023-09-15,Activo
32,CLI-000032,Nomina,Queretaro,Mexico,58,22169,2021-05-31,Activo
33,CLI-000033,Nomina,Queretaro,Mexico,30,18790,2021-10-19,Activo
34,CLI-000034,Premium,Queretaro,Mexico,46,55050,2021-07-22,Activo
35,CLI-000035,Digital,Guadalajara,Mexico,50,35000,2024-12-10,Inactivo
36,CLI-000036,Nomina,Puebla,Colombia,64,14593,2025-07-04,Activo
37,CLI-000037,Empresarial,Cali,Colombia,36,22197,2022-02-09,Activo
38,CLI-000038,Digital,Cali,Mexico,20,81539,2025-01-13,Activo
39,CLI-000039,Empresarial,Guadalajara,Mexico,24,57790,2025-03-08,Activo
40,CLI-000040,Digital,Guadalajara,Mexico,31,51968,2021-09-19,Inactivo
41,CLI-000041,Nomina,Puebla,Mexico,20,77401,2023-03-09,Activo
42,CLI-000042,Digital,Queretaro,Mexico,20,14772,2021-11-02,Inactivo
43,CLI-000043,Premium,Medellin,Mexico,26,19470,2024-12-26,Inactivo
44,CLI-000044,Digital,Medellin,Colombia,29,30458,2026-02-10,Inactivo
45,CLI-000045,Empresarial,Puebla,Mexico,26,91689,2021-12-09,Inactivo
46,CLI-000046,Empresarial,Cali,Mexico,53,37897,2021-07-30,Inactivo
47,CLI-000047,Empresarial,Medellin,Mexico,55,17729,2021-11-24,Inactivo
48,CLI-000048,Pyme,Medellin,Mexico,33,79581,2025-06-05,Activo
49,CLI-000049,Nomina,Monterrey,Colombia,63,33121,2023-03-01,Activo
50,CLI-000050,Empresarial,Queretaro,Colombia,25,95336,2025-09-11,Inactivo
51,CLI-000051,Pyme,CDMX,Mexico,52,36231,2023-05-10,Activo
52,CLI-000052,Pyme,Queretaro,Mexico,51,8152,2021-08-09,Activo
53,CLI-000053,Digital,Bogota,Mexico,36,14298,2023-01-14,Activo
54,CLI-000054,Pyme,Medellin,Colombia,33,35836,2024-06-09,Activo
55,CLI-000055,Pyme,Guadalajara,Mexico,62,68959,2021-09-24,Activo
56,CLI-000056,Pyme,Queretaro,Mexico,32,46690,2023-07-02,Activo
57,CLI-000057,Premium,Puebla,Mexico,41,89106,2022-04-25,Activo
58,CLI-000058,Nomina,Queretaro,Mexico,35,81658,2022-07-24,Activo
59,CLI-000059,Pyme,Guadalajara,Mexico,31,50762,2022-01-08,Activo
60,CLI-000060,Premium,Bogota,Mexico,51,52494,2025-05-04,Activo
61,CLI-000061,Nomina,Medellin,Colombia,24,46263,2025-09-17,Inactivo
62,CLI-000062,Premium,CDMX,Mexico,58,49082,2022-04-15,Activo
63,CLI-000063,Empresarial,Queretaro,Colombia,60,63139,2022-09-26,Activo
64,CLI-000064,Empresarial,Queretaro,Colombia,53,50721,2025-04-03,Activo
65,CLI-000065,Digital,Medellin,Mexico,48,32714,2026-04-02,Activo
66,CLI-000066,Pyme,Monterrey,Mexico,26,28814,2022-11-16,Activo
67,CLI-000067,Nomina,Puebla,Mexico,38,26615,2024-05-16,Inactivo
68,CLI-000068,Premium,Bogota,Colombia,54,42234,2026-08-23,Activo
69,CLI-000069,Digital,Medellin,Colombia,38,75276,2023-09-07,Activo
70,CLI-000070,Pyme,Guadalajara,Mexico,21,38252,2022-12-15,Activo
71,CLI-000071,Nomina,Puebla,Mexico,48,10427,2024-07-07,Activo
72,CLI-000072,Nomina,Bogota,Mexico,40,12526,2024-08-06,Activo
73,CLI-000073,Pyme,Medellin,Mexico,53,82873,2025-04-17,Activo
74,CLI-000074,Nomina,Queretaro,Colombia,35,66513,2022-05-25,Activo
75,CLI-000075,Digital,Cali,Mexico,20,21714,2025-12-25,Activo
76,CLI-000076,Premium,Guadalajara,Mexico,54,23101,2023-05-08,Activo
77,CLI-000077,Nomina,Medellin,Colombia,24,10311,2024-12-19,Activo
78,CLI-000078,Empresarial,Puebla,Colombia,23,70155,2023-03-29,Activo
79,CLI-000079,Digital,Medellin,Mexico,25,96546,2022-05-22,Activo
80,CLI-000080,Premium,Monterrey,Mexico,35,84462,2022-03-04,Activo
81,CLI-000081,Empresarial,Bogota,Colombia,51,47194,2022-08-28,Inactivo
82,CLI-000082,Pyme,Medellin,Mexico,41,47202,2022-09-02,Activo
83,CLI-000083,Empresarial,Medellin,Mexico,59,29948,2024-02-17,Activo
84,CLI-000084,Pyme,CDMX,Colombia,28,27091,2022-04-22,Activo
85,CLI-000085,Empresarial,Bogota,Mexico,20,93326,2026-03-16,Activo
86,CLI-000086,Premium,Medellin,Mexico,49,52174,2022-05-02,Activo
87,CLI-000087,Pyme,Bogota,Mexico,46,50593,2023-10-08,Activo
88,CLI-000088,Digital,Monterrey,Colombia,32,30626,2026-01-05,Activo
89,CLI-000089,Nomina,Queretaro,Colombia,28,27475,2024-01-09,Activo
90,CLI-000090,Empresarial,Queretaro,Mexico,24,25471,2025-06-06,Activo
91,CLI-000091,Nomina,Queretaro,Mexico,63,57802,2022-11-09,Activo
92,CLI-000092,Empresarial,Puebla,Colombia,45,50246,2024-04-06,Activo
93,CLI-000093,Nomina,Cali,Mexico,56,44064,2026-04-08,Activo
94,CLI-000094,Nomina,Guadalajara,Mexico,33,97453,2026-01-10,Inactivo
95,CLI-000095,Digital,Medellin,Mexico,43,48546,2024-04-01,Inactivo
96,CLI-000096,Empresarial,Monterrey,Mexico,47,74608,2021-06-26,Activo
97,CLI-000097,Pyme,Bogota,Mexico,27,14756,2026-08-29,Activo
98,CLI-000098,Premium,Monterrey,Mexico,51,71269,2024-03-09,Activo
99,CLI-000099,Empresarial,Medellin,Mexico,49,92030,2024-05-06,Activo
100,CLI-000100,Digital,Cali,Colombia,23,22933,2024-12-27,Activo
101,CLI-000101,Premium,Monterrey,Mexico,50,70976,2021-07-06,Activo
102,CLI-000102,Premium,CDMX,Mexico,39,37009,2025-04-21,Activo
103,CLI-000103,Empresarial,Medellin,Mexico,62,97962,2022-12-29,Activo
104,CLI-000104,Nomina,Medellin,Mexico,49,90447,2025-09-06,Activo
105,CLI-000105,Digital,Puebla,Mexico,35,37998,2023-01-02,Inactivo
106,CLI-000106,Pyme,Bogota,Mexico,62,81221,2023-08-30,Activo
107,CLI-000107,Pyme,Monterrey,Colombia,38,54314,2021-04-06,Activo
108,CLI-000108,Premium,Puebla,Mexico,36,76080,2023-04-02,Inactivo
109,CLI-000109,Pyme,Queretaro,Colombia,39,70843,2026-01-04,Inactivo
110,CLI-000110,Digital,Guadalajara,Mexico,44,57703,2026-03-01,Inactivo
111,CLI-000111,Empresarial,Puebla,Mexico,57,52854,2022-10-01,Activo
112,CLI-000112,Pyme,Medellin,Colombia,30,57614,2024-07-28,Inactivo
113,CLI-000113,Premium,Cali,Colombia,32,79101,2024-05-27,Inactivo
114,CLI-000114,Premium,Medellin,Mexico,33,60824,2021-03-16,Activo
115,CLI-000115,Nomina,Queretaro,Mexico,44,56909,2024-03-07,Activo
116,CLI-000116,Nomina,Bogota,Mexico,30,77799,2026-06-08,Activo
117,CLI-000117,Digital,Medellin,Mexico,49,81867,2021-04-21,Activo
118,CLI-000118,Nomina,Queretaro,Mexico,59,86677,2024-04-06,Activo
119,CLI-000119,Premium,Bogota,Mexico,49,21893,2024-02-08,Inactivo
120,CLI-000120,Pyme,Bogota,Mexico,58,84711,2021-12-20,Activo
121,CLI-000121,Pyme,Bogota,Colombia,59,11231,2026-04-20,Activo
122,CLI-000122,Empresarial,Cali,Colombia,39,16860,2023-03-16,Inactivo
123,CLI-000123,Premium,Bogota,Colombia,22,79653,2025-01-25,Activo
124,CLI-000124,Nomina,Queretaro,Mexico,55,23299,2026-03-30,Inactivo
125,CLI-000125,Digital,Guadalajara,Colombia,26,49503,2025-04-14,Activo
126,CLI-000126,Nomina,Medellin,Colombia,50,22218,2024-04-03,Activo
127,CLI-000127,Premium,Bogota,Mexico,31,84077,2025-08-01,Activo
128,CLI-000128,Premium,Guadalajara,Mexico,45,97342,2025-01-21,Inactivo
129,CLI-000129,Digital,Monterrey,Mexico,50,75020,2026-05-28,Activo
130,CLI-000130,Premium,Cali,Mexico,55,62636,2024-09-29,Activo
131,CLI-000131,Digital,Bogota,Colombia,49,83450,2023-03-27,Inactivo
132,CLI-000132,Digital,Monterrey,Mexico,46,73912,2026-03-07,Activo
133,CLI-000133,Digital,Guadalajara,Mexico,44,95434,2023-10-08,Inactivo
134,CLI-000134,Empresarial,Monterrey,Colombia,41,80584,2022-08-02,Activo
135,CLI-000135,Nomina,Cali,Mexico,63,85413,2022-09-16,Inactivo
136,CLI-000136,Empresarial,Medellin,Mexico,55,9253,2023-09-26,Activo
137,CLI-000137,Digital,Bogota,Mexico,57,92626,2026-01-30,Activo
138,CLI-000138,Nomina,Cali,Mexico,61,27923,2026-04-30,Inactivo
139,CLI-000139,Empresarial,Monterrey,Mexico,26,93164,2025-01-03,Activo
140,CLI-000140,Nomina,Cali,Mexico,40,68344,2022-08-09,Inactivo
141,CLI-000141,Premium,Bogota,Mexico,38,16912,2023-12-30,Activo
142,CLI-000142,Empresarial,CDMX,Mexico,39,93550,2021-12-28,Activo
143,CLI-000143,Digital,Queretaro,Colombia,36,43833,2025-08-20,Activo
144,CLI-000144,Empresarial,Puebla,Mexico,48,61743,2026-07-23,Inactivo
145,CLI-000145,Pyme,Guadalajara,Mexico,23,76864,2025-07-16,Activo
146,CLI-000146,Empresarial,Monterrey,Mexico,60,8255,2021-12-22,Activo
147,CLI-000147,Nomina,Monterrey,Mexico,49,10320,2026-08-05,Inactivo
148,CLI-000148,Pyme,Monterrey,Mexico,22,74755,2023-10-17,Activo
149,CLI-000149,Premium,Medellin,Mexico,24,53345,2021-07-01,Activo
150,CLI-000150,Digital,Medellin,Mexico,40,94762,2026-05-05,Activo
151,CLI-000151,Premium,Bogota,Mexico,60,14614,2026-03-26,Activo
152,CLI-000152,Nomina,Monterrey,Mexico,44,37267,2021-03-24,Activo
153,CLI-000153,Premium,Queretaro,Mexico,51,84751,2023-02-10,Inactivo
154,CLI-000154,Digital,Guadalajara,Mexico,30,38504,2024-03-11,Activo
155,CLI-000155,Nomina,Puebla,Mexico,36,21738,2021-08-15,Activo
156,CLI-000156,Empresarial,CDMX,Mexico,53,81059,2023-08-18,Activo
157,CLI-000157,Premium,Monterrey,Mexico,35,67881,2022-07-26,Inactivo
158,CLI-000158,Digital,Cali,Mexico,35,60013,2025-07-05,Activo
159,CLI-000159,Pyme,CDMX,Colombia,36,76635,2023-07-13,Inactivo
160,CLI-000160,Empresarial,Cali,Colombia,47,65843,2026-07-13,Inactivo
161,CLI-000161,Empresarial,Monterrey,Mexico,51,35809,2024-10-24,Activo
162,CLI-000162,Empresarial,Queretaro,Mexico,26,64985,2026-07-04,Activo
163,CLI-000163,Pyme,Puebla,Mexico,36,72944,2022-06-03,Activo
164,CLI-000164,Nomina,CDMX,Mexico,47,68657,2025-03-08,Activo
165,CLI-000165,Premium,Puebla,Mexico,53,18244,2024-04-27,Activo
166,CLI-000166,Digital,Puebla,Mexico,22,43574,2023-05-24,Activo
167,CLI-000167,Pyme,Guadalajara,Mexico,31,37531,2026-08-19,Activo
168,CLI-000168,Nomina,Puebla,Colombia,42,83002,2022-04-05,Activo
169,CLI-000169,Empresarial,CDMX,Mexico,61,85590,2023-07-10,Activo
170,CLI-000170,Digital,Puebla,Mexico,20,37229,2022-04-15,Activo
171,CLI-000171,Empresarial,Cali,Mexico,58,29898,2023-06-14,Activo
172,CLI-000172,Pyme,Monterrey,Mexico,34,23132,2023-11-18,Activo
173,CLI-000173,Premium,Cali,Mexico,52,81705,2022-03-18,Activo
174,CLI-000174,Nomina,Guadalajara,Mexico,54,66996,2025-09-14,Inactivo
175,CLI-000175,Premium,Medellin,Colombia,40,91174,2023-08-02,Activo
176,CLI-000176,Digital,Medellin,Mexico,26,14146,2024-04-02,Activo
177,CLI-000177,Pyme,CDMX,Mexico,33,48672,2026-05-13,Inactivo
178,CLI-000178,Nomina,Medellin,Colombia,47,53636,2024-02-21,Activo
179,CLI-000179,Digital,Cali,Mexico,56,66665,2024-11-29,Activo
180,CLI-000180,Nomina,CDMX,Mexico,60,38909,2022-10-06,Activo
181,CLI-000181,Nomina,Guadalajara,Mexico,39,55047,2025-10-21,Activo
182,CLI-000182,Pyme,Puebla,Mexico,46,79030,2023-02-17,Activo
183,CLI-000183,Nomina,Bogota,Mexico,52,67091,2021-09-17,Inactivo
184,CLI-000184,Pyme,Queretaro,Mexico,35,95093,2022-11-07,Activo
185,CLI-000185,Premium,Cali,Mexico,36,79250,2022-03-22,Activo
186,CLI-000186,Empresarial,Bogota,Mexico,43,66142,2024-05-10,Activo
187,CLI-000187,Pyme,Guadalajara,Mexico,62,51764,2025-06-07,Activo
188,CLI-000188,Nomina,Medellin,Mexico,54,83161,2021-11-01,Activo
189,CLI-000189,Pyme,Medellin,Mexico,36,22602,2022-02-14,Inactivo
190,CLI-000190,Empresarial,Guadalajara,Mexico,38,68873,2025-05-16,Activo
191,CLI-000191,Pyme,Bogota,Mexico,44,35852,2022-03-31,Activo
192,CLI-000192,Empresarial,Monterrey,Colombia,64,49551,2025-02-17,Activo
193,CLI-000193,Premium,Cali,Colombia,56,20456,2025-04-21,Activo
194,CLI-000194,Empresarial,Queretaro,Mexico,58,84605,2025-02-10,Inactivo
195,CLI-000195,Pyme,Cali,Mexico,39,93177,2025-06-16,Activo
196,CLI-000196,Pyme,CDMX,Mexico,42,29220,2021-03-24,Activo
197,CLI-000197,Nomina,Cali,Colombia,49,79224,2025-12-02,Activo
198,CLI-000198,Empresarial,Bogota,Mexico,51,48374,2026-08-24,Activo
199,CLI-000199,Pyme,Medellin,Mexico,52,55499,2026-01-24,Activo
200,CLI-000200,Pyme,CDMX,Mexico,55,49140,2026-01-25,Inactivo
201,CLI-000201,Premium,CDMX,Mexico,30,20922,2024-04-28,Activo
202,CLI-000202,Pyme,Puebla,Mexico,23,95719,2026-04-21,Activo
203,CLI-000203,Premium,Cali,Mexico,37,50312,2023-03-12,Inactivo
204,CLI-000204,Pyme,CDMX,Colombia,35,73965,2023-03-27,Inactivo
205,CLI-000205,Digital,Monterrey,Mexico,44,81216,2025-09-18,Inactivo
206,CLI-000206,Premium,Bogota,Mexico,56,13679,2022-06-04,Activo
207,CLI-000207,Pyme,CDMX,Mexico,21,92003,2023-11-08,Inactivo
208,CLI-000208,Premium,Monterrey,Colombia,28,40128,2022-05-26,Inactivo
209,CLI-000209,Pyme,CDMX,Mexico,60,74898,2021-10-10,Activo
210,CLI-000210,Empresarial,Puebla,Mexico,61,54735,2022-04-15,Activo
211,CLI-000211,Nomina,Queretaro,Colombia,44,36909,2026-03-27,Activo
212,CLI-000212,Pyme,Queretaro,Mexico,51,39639,2026-06-11,Inactivo
213,CLI-000213,Pyme,Cali,Mexico,64,93311,2026-04-06,Activo
214,CLI-000214,Pyme,Medellin,Mexico,62,20850,2023-05-07,Inactivo
215,CLI-000215,Nomina,CDMX,Colombia,36,42457,2023-07-27,Activo
216,CLI-000216,Digital,Cali,Mexico,54,59653,2023-10-11,Activo
217,CLI-000217,Digital,Guadalajara,Mexico,53,52914,2024-07-22,Activo
218,CLI-000218,Pyme,Monterrey,Mexico,64,33702,2021-08-28,Activo
219,CLI-000219,Nomina,Medellin,Mexico,60,48060,2026-03-12,Activo
220,CLI-000220,Empresarial,Monterrey,Mexico,22,56795,2021-10-17,Inactivo
221,CLI-000221,Digital,Cali,Mexico,55,53788,2026-01-04,Activo
222,CLI-000222,Nomina,Medellin,Mexico,44,41202,2022-04-10,Activo
223,CLI-000223,Digital,CDMX,Mexico,64,72698,2023-10-18,Inactivo
